市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,LocName,lng,lat
千代田区丸の内１丁目,466,0,0,0,64,0,52,10,1,1,1,1,0,0,0,0,0,0,0,318,0,0,6,1,2,0,53,0,41,102,113,83,33,19,7,0,24,東京都/千代田区/丸の内/一丁目,139.7672,35.68156
千代田区丸の内２丁目,51,0,0,0,3,0,0,2,1,0,1,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,3,0,2,22,8,12,5,3,1,0,3,東京都/千代田区/丸の内/二丁目,139.76344,35.68002
千代田区丸の内３丁目,38,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,29,0,0,3,1,0,0,1,0,1,10,13,7,3,1,2,0,1,東京都/千代田区/丸の内/三丁目,139.76347,35.67695
千代田区大手町１丁目,79,0,0,0,17,0,15,1,1,0,1,0,0,0,0,0,0,0,1,41,1,1,7,0,0,1,4,0,3,8,16,20,4,3,0,0,13,東京都/千代田区/大手町/一丁目,139.76393,35.68807
千代田区大手町２丁目,25,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,4,0,0,1,5,7,5,0,0,0,2,東京都/千代田区/大手町/二丁目,139.76808,35.6863
千代田区内幸町１丁目,43,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,0,2,10,12,15,11,0,0,0,4,東京都/千代田区/内幸町/一丁目,139.75812,35.67084
千代田区内幸町２丁目,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,東京都/千代田区/内幸町/二丁目,139.75418,35.67081
千代田区有楽町１丁目,125,0,0,0,15,0,7,8,0,0,0,0,0,0,0,0,0,0,0,97,0,0,5,0,0,0,7,0,15,34,36,13,7,3,0,0,3,東京都/千代田区/有楽町/一丁目,139.76054,35.67448
千代田区有楽町２丁目,157,1,1,0,9,0,9,0,0,0,1,0,0,0,1,0,0,0,0,129,0,0,3,0,0,0,4,0,6,79,37,17,8,2,2,0,5,東京都/千代田区/有楽町/二丁目,139.76282,35.67389
千代田区霞が関１丁目,27,1,0,1,7,0,3,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,15,2,0,3,0,10,東京都/千代田区/霞が関/一丁目,139.75256,35.67394
