address,place,sports,lat,lng,FID
東京都新宿区霞ヶ丘町,新国立競技場（オリンピックスタジアム）,開会式/閉会式、陸上競技、サッカー,35.678045,139.714807,1
東京都渋谷区千駄ヶ谷,東京体育館,卓球,35.679595,139.711966,2
東京都渋谷区神南,国立代々木競技場,ハンドボール,35.667471,139.699894,3
東京都千代田区北の丸公園 ,日本武道館,柔道,35.693361,139.750224,4
東京都千代田区皇居外苑,皇居外苑,自転車競技（ロード・レース　スタート／ゴール）,35.676975,139.75871,5
東京都千代田区丸の内 ,東京国際フォーラム,ウェイトリフティング,35.676875,139.764269,6
東京都墨田区横網 ,国技館,ボクシング,35.696935,139.793497,7
東京都江東区有明 ,有明アリーナ ,バレーボール（インドア）,35.643723,139.793841,8
東京都江東区有明 ,有明体操競技場,体操,35.636367,139.790168,9
東京都江東区有明 ,有明BMXコース,自転車競技（BMX）,35.636367,139.790168,10
東京都江東区有明 ,有明テニスの森,テニス,35.634712,139.788577,11
東京都港区台場, お台場海浜公園,水泳（マラソン10km）、トライアスロン,35.627551,139.771886,12
東京都品川区東八潮 ,潮風公園,バレーボール（ビーチバレーボール）,35.623991,139.768785,13
東京都品川区八潮 ,大井ホッケー競技場,ホッケー,35.593666,139.744731,14
東京都江東区青海 ,海の森,クロスカントリーコース  馬術（総合馬術・クロスカントリー）,35.607153,139.808108,15
東京都江東区青海 ,海の森水上競技場,カヌー（スプリント）、ボート,35.607153,139.808108,16
東京都江戸川区臨海町,－,カヌー・スラローム会場  カヌー（スラローム）,35.644408,139.850172,17
東京都江東区夢の島 ,夢の島公園,アーチェリー,35.649371,139.825769,18
東京都江東区辰巳, オリンピックアクアティクスセンター,水泳（競泳、飛込、シンクロナイズドスイミング）,35.643762,139.818227,19
東京都江東区辰巳, 東京辰巳国際水泳場,水泳（水球）,35.647664,139.818956,20
東京都世田谷区上用賀 ,馬事公苑,馬術（馬場馬術、総合馬術、障害馬術）,35.638078,139.633595,21
東京都調布市飛田給 ,武蔵野の森総合スポーツ施設,バドミントン、近代五種（フェンシング）,35.676366,139.522687,22
東京都調布市西町 ,東京スタジアム,サッカー、近代五種（水泳、馬術、ランニング、射撃）、7人制ラグビー,35.664274,139.52712,23
埼玉県さいたま市中央区 ,さいたまスーパーアリーナ,バスケットボール,35.895038,139.630701,24
東京都練馬区大泉学園町, 陸上自衛隊朝霞訓練場,射撃,35.780316,139.594142,25
埼玉県川越市笠幡 ,霞ヶ関カンツリー倶楽部,ゴルフ,35.897589,139.399448,26
千葉県千葉市美浜区 ,幕張メッセ,フェンシング、 テコンドー、 レスリング,35.646715,140.036626,27
神奈川県藤沢市江の島 ,江の島ヨットハーバー,セーリング,35.299623,139.483532,28
静岡県伊豆市大野 ,伊豆ベロドローム,自転車競技（トラック・レース）,35.011589,139.015205,29
静岡県伊豆市大野 ,伊豆マウンテンバイクコース,自転車競技（マウンテンバイク）,35.010393,139.014828,30
北海道札幌市豊平区 ,札幌ドーム,サッカー,43.015779,141.409534,31
宮城県宮城郡利府町 ,宮城スタジアム  ,サッカー,38.335418,140.951817,32
埼玉県さいたま市緑区 ,埼玉スタジアム2002,サッカー,35.903515,139.717546,33
神奈川県横浜市港北区, 横浜国際総合競技場,サッカー,35.50997,139.606387,34
東京都中央区晴海５丁目,選手村,選手村   ,35.649822,139.774514,35
